game_id,date,team_1,team_2,game_number,team_winner,patch_version,season,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20
81,6-Sep-2024,geek,rbl,1,geek,1.9.06,14,hayabusa,chip,benedetta,helcurt,zhuxin,roger,phoveus,zhask,edith,alpha,moskov,karrie,valentina,terizla,vexana,x.borg,julian,faramis,ruby,akai
82,6-Sep-2024,rbl,geek,2,geek,1.9.06,14,hylos,chip,helcurt,phoveus,roger,zhuxin,zhask,moskov,edith,hayabusa,arlott,julian,lolita,faramis,harith,ruby,aurora,akai,karrie,grock
83,6-Sep-2024,evos,fnoc,1,fnoc,1.9.06,14,hayabusa,chip,faramis,zhuxin,zhask,roger,phoveus,julian,hylos,valentina,nolan,karrie,harith,luo yi,lolita,ruby,vexana,claude,tigreal,terizla
84,6-Sep-2024,evos,fnoc,2,fnoc,1.9.06,14,hayabusa,chip,faramis,zhuxin,zhask,hylos,phoveus,roger,jawhead,tigreal,nolan,valentina,vexana,julian,aurora,alpha,terizla,lunox,angela,ruby
85,7-Sep-2024,dewa,rrq,1,dewa,1.9.06,14,roger,chip,zhuxin,ling,ruby,fanny,phoveus,harith,hylos,hayabusa,lunox,alpha,chou,terizla,jawhead,edith,angela,gatotkaca,vexana,tigreal
86,7-Sep-2024,rrq,dewa,2,rrq,1.9.06,14,fanny,chip,hylos,roger,hayabusa,phoveus,zhuxin,chou,ling,julian,edith,aurora,ruby,harith,beatrix,lolita,arlott,franco,karrie,lunox
87,7-Sep-2024,dewa,rrq,3,rrq,1.9.06,14,roger,chip,zhuxin,fanny,ruby,ling,phoveus,edith,vexana,moskov,julian,natan,lolita,alpha,hylos,nolan,fredrinn,gatotkaca,aurora,yu zhong
88,7-Sep-2024,ae,tlid,1,tlid,1.9.06,14,zhuxin,chip,edith,ling,harith,fanny,phoveus,vexana,hylos,roger,zhask,alpha,tigreal,moskov,jawhead,mathilda,lolita,grock,lancelot,natan
89,7-Sep-2024,tlid,ae,2,tlid,1.9.06,14,roger,chip,zhask,zhuxin,phoveus,hylos,fanny,vexana,edith,harith,terizla,ling,lolita,khufra,faramis,ruby,moskov,aurora,chou,tigreal
90,7-Sep-2024,btr,evos,1,btr,1.9.06,14,zhuxin,chip,ling,valentina,hylos,arlott,phoveus,nolan,terizla,roger,zhask,faramis,edith,jawhead,ruby,harith,lunox,bane,tigreal,franco
91,7-Sep-2024,btr,evos,2,btr,1.9.06,14,zhuxin,chip,ling,valentina,hylos,faramis,phoveus,roger,zhask,ruby,nolan,tigreal,aurora,alpha,luo yi,bane,terizla,harith,lunox,natan
92,8-Sep-2024,ae,rbl,1,ae,1.9.06,14,zhuxin,chip,zhask,fanny,hylos,hayabusa,phoveus,edith,alpha,vexana,ling,roger,harith,faramis,chou,grock,yve,moskov,tigreal,akai
93,8-Sep-2024,rbl,ae,2,ae,1.9.06,14,fanny,chip,hayabusa,zhuxin,hylos,phoveus,zhask,ling,aurora,moskov,edith,terizla,tigreal,chou,grock,harith,jawhead,arlott,julian,karrie
94,8-Sep-2024,geek,fnoc,1,geek,1.9.06,14,fanny,chip,hayabusa,helcurt,zhuxin,roger,phoveus,julian,hylos,nolan,moskov,zhask,faramis,terizla,ruby,karrie,brody,grock,vexana,lolita
95,8-Sep-2024,geek,fnoc,2,geek,1.9.06,14,fanny,chip,hayabusa,helcurt,zhuxin,roger,phoveus,julian,hylos,nolan,moskov,karrie,zhask,terizla,faramis,kaja,vexana,mathilda,yve,chou
96,8-Sep-2024,dewa,tlid,1,tlid,1.9.06,14,fanny,chip,zhuxin,ling,harith,hylos,phoveus,vexana,terizla,moskov,julian,alpha,gatotkaca,lolita,aurora,mathilda,carmilla,lylia,edith,natan
97,8-Sep-2024,tlid,dewa,2,dewa,1.9.06,14,zhuxin,chip,hayabusa,fanny,phoveus,hylos,ling,vexana,gatotkaca,harith,terizla,lunox,faramis,nolan,lolita,roger,arlott,angela,aurora,alpha
98,8-Sep-2024,dewa,tlid,3,tlid,1.9.06,14,fanny,chip,zhuxin,ling,phoveus,hayabusa,vexana,nolan,hylos,alpha,gatotkaca,harith,lunox,faramis,arlott,carmilla,yve,edith,karrie,lolita
99,13-Sep-2024,btr,dewa,1,btr,1.9.06,14,hylos,chip,hayabusa,ling,gatotkaca,fanny,phoveus,harith,edith,nolan,lunox,alpha,valentina,vexana,ruby,mathilda,zhuxin,yve,grock,terizla
100,13-Sep-2024,btr,dewa,2,dewa,1.9.06,14,gatotkaca,chip,hayabusa,fanny,hylos,ling,phoveus,harith,terizla,nolan,lunox,alpha,yve,vexana,zhuxin,mathilda,valentina,khufra,zhask,carmilla
101,13-Sep-2024,btr,dewa,3,btr,1.9.06,14,hylos,chip,harith,fanny,alpha,ling,phoveus,terizla,moskov,roger,mathilda,julian,zhuxin,valentina,yve,carmilla,vexana,hayabusa,zhask,gatotkaca
102,13-Sep-2024,rbl,tlid,1,tlid,1.9.06,14,fanny,chip,nolan,zhask,ling,moskov,hayabusa,vexana,phoveus,zhuxin,edith,roger,natan,tigreal,harith,carmilla,hylos,kaja,karrie,ruby
103,13-Sep-2024,rbl,tlid,2,rbl,1.9.06,14,fanny,chip,nolan,zhask,ling,moskov,hayabusa,roger,phoveus,yve,edith,vexana,natan,mathilda,harith,joy,hylos,karrie,carmilla,julian
104,13-Sep-2024,rbl,tlid,3,tlid,1.9.06,14,fanny,chip,nolan,zhask,ling,hayabusa,edith,hylos,yve,alpha,mathilda,roger,moskov,natan,lunox,harith,ruby,novaria,karrie,arlott
105,14-Sep-2024,evos,dewa,1,dewa,1.9.06,14,hylos,chip,zhuxin,ling,alpha,phoveus,edith,valentina,harith,lunox,fanny,hayabusa,tigreal,grock,vexana,terizla,gatotkaca,zhask,chou,arlott
106,14-Sep-2024,dewa,evos,2,dewa,1.9.06,14,ling,chip,hylos,phoveus,zhuxin,harith,valentina,roger,ruby,alpha,moskov,nolan,arlott,yu zhong,gatotkaca,vexana,tigreal,mathilda,terizla,lunox
107,14-Sep-2024,ae,geek,1,ae,1.9.06,14,helcurt,fanny,roger,hayabusa,hylos,zhuxin,chip,nolan,phoveus,edith,vexana,moskov,alpha,mathilda,ling,faramis,luo yi,julian,karrie,grock
108,14-Sep-2024,geek,ae,2,geek,1.9.06,14,fanny,chip,hayabusa,helcurt,zhuxin,roger,phoveus,hylos,vexana,moskov,nolan,julian,mathilda,karrie,faramis,claude,lolita,terizla,yve,hanabi
109,14-Sep-2024,ae,geek,3,geek,1.9.06,14,helcurt,fanny,roger,hayabusa,hylos,zhuxin,chip,nolan,phoveus,edith,vexana,faramis,julian,mathilda,alpha,moskov,ruby,bane,harith,lunox
110,14-Sep-2024,rrq,fnoc,1,rrq,1.9.06,14,fanny,chip,faramis,zhuxin,hylos,phoveus,edith,chou,roger,valentina,harith,lunox,nolan,luo yi,fredrinn,terizla,vexana,ruby,ling,gatotkaca
